pto_no,sacco,permit_id,route_hints,is_intercity,route_text,pto_name_raw
NTSA/RSN-0069,City Star Shuttle,NTR-0020181211134410497,,False,"bus station, kencom,gpo,knh,adams arcade,karen,ngong,matasia,kiseriani,rongai,bomas,langata road, kiserian",city star shuttle limited
NTSA/RSN-0069,City Star Shuttle,NTR-0020181211134054530,,False,"kikuyu, kawangware,ngong road,yaya,icea,ambassadeur,bus station,jogoo road,kangundo road,utawala,ruai,joska, malaa",city star shuttle limited
NTSA/RSN-0069,City Star Shuttle,NTR-00202101251020460,,True,"South B, Langata Ongata Rongai Kiserian Ngong Karen Kawangware Yaya KNH Ambassador Kencom Bus station Jogoo rd Buruburu Umoja Kangundo rd Ruai Malaa Kantafu Utawala Jkia Mombasa rd SGR Syokimau Athi river Kitengela, Isinya",city star shuttle limited
NTSA/RSN-0069,City Star Shuttle,NTR-00202101251031330,,True,"Kangundo, Malaa Ruai Juja Ruiru Thika Kenyatta university Juja rdTom mboya Kencom Ambassador Bus station Gikomba Jogoo rd Buruburu Outering rd Umoja Kangundo rdUtawala JKIA Mombasa SGR Syokimau Athi river Kitengela, Isinya",city star shuttle limited
NTSA/RSN-0069,City Star Shuttle,NTR-00592,,False,"kikuyu, kawangware,yaya,arkwings kodhek,yaya,ambassadour,jkia,utawala, joska",city star shuttle limited
NTSA/RSN-0069,City Star Shuttle,NTR-00591,,False,"juja, ruiru,thika rd,tom mboya,bus station,buruburu,ruai,kangundo rd,joska, malaa",city star shuttle limited
NTSA/RSN-0069,City Star Shuttle,NTR-00596,,False,"kikuyu, kawangware,ngong rd,yaya,icea,ambassadour,bus station,umoja,jkia, joska",city star shuttle limited
NTSA/RSN-0069,City Star Shuttle,ADR-DB3TQ92,,True,"Isinya, Kitengela Athi river Syokimau SGR Mombasa rd JKIA Utawala Ruai Malaa Kantafu Kangundo rd Umoja Outering rd Juja rd Buruburu Jogoo rd South B Bus station Ambassador Kencom KNH Langata rd Ongata Rongai Kiserian Ngong Karen Hardy Kawangware Kikuyu, Waiyaki way",city star shuttle limited
NTSA/RSN-0069,City Star Shuttle,ADR-3ZQSO8Q,,True,"Kantafu, Malaa Ruai Juja Ruiru Thika rd Kenyatta university Juja rdTom mboya Kencom Ambassador Bus station Jogoo rd Buruburu Outering rd Umoja Kangundo rdUtawala JKIA Mombasa SGR Syokimau Athi river Kitengela, Isinya",city star shuttle limited
NTSA/RSN-0069,City Star Shuttle,ADR-JY7SED8,,True,"Isinya, Kitengela Athi river Syokimau SGR Mombasa rd JKIA Utawala Ruai Malaa Kantafu Kangundo rd Umoja Outering rd Juja rd Buruburu Jogoo rd South B Bus station Ambassador Kencom KNH Langata rd Ongata Rongai Kiserian Ngong Karen Hardy Kawangware Kikuyu Waiyaki way, Thika",city star shuttle limited
