stage_id,name,lat,lon,corridor,routes,aliases,nearby_osm_name
0702DCS,Dagoretti Corner Stage,-1.298409,36.759430,,2 3U 4W 102 103,Kenol Dagoretti Corner,Tankard
0703DGT,Dagoretti Market,-1.287804,36.686281,,1,,Dagoretti Market
0701DGM,Dagoretti Market,-1.283091,36.689559,,2,,Dagoretti Market
0711DRC,Dagoretti Rehabilitation Centre,-1.273861,36.684449,,102,,
0501DME,Dam Estate,-1.322802,36.804624,,15 24 125 126 24C 34L,,
0201DNK,Danamark Flats,-1.218210,36.900913,thika_road,49 17B 17B_2,,Equity
0313DDS,Dandora Terminal,-1.245059,36.908460,,36 41 42 32D,New Jeruslaem,
0501DAR,Dar-Es-Salaam,-1.305716,36.833025,,11 11_2,Mary Immaculate Vct Centre,
0201DAW,Dawa Pharmacutical,-1.247043,36.873225,thika_road,25 42 25A 2030,Naivas,adapt alight
0801DCR,Day Care/Kandara Road,-1.276964,36.785897,,48B 48O,Kandara Road/Kenya High,
0400DSP,Dayspring,-1.263539,36.887485,,23KS,,Its Here
0400BDC,Dc Bahati Office,-1.291113,36.857319,,23KS,,Church army
0410DCJ,DC Jogoo Road,-1.296536,36.862100,,10 26 36 58 33C 34B 34J 04SK 1960 33DP 33TP 1961K 19Cdc 19Cjk 33FED 33GTB 35/60 38/39,Kotini | Makadara | Makadara/Mwisho | Uchumi Jogoo Road,
0200DEC,Deliverance Church,-1.241361,36.894047,thika_road,25A,The Baptist Chapel | Timba Junior Academy,Tiba Stage
0701DCR,Deliverance Church Riruta,-1.292742,36.751647,,2 3U 102 103,,Coast
0701DCT,Deliverance Church/Dagoretti Market,-1.293618,36.683659,,1,,Dagoretti Market
0510KAS,Deliverance Church/Kanisani,-1.323677,36.798897,,15 125 126 24C 34L,Uhuru Gardens,
0801DEP,Deliverance Church/Petrol Station,-1.260860,36.713290,,103 105,,Coperation/Kopa
0801DEL,Deloitte,-1.263090,36.764390,,30 105 115 135 114W 23KG,,Waruku/Deloitte
0100DPA,Delta Petrol Station Ruaka,-1.209340,36.788470,,106 107 116 11F 114R,Delta Petrol Station/ Brook Apartmens,Delta Petrol Station/Border
