route_id,direction,sequence,stage_id
21000004911,in,7,0200TDS
21000004911,in,8,0200MET
21000004911,in,9,0210MET
21000004911,in,10,0200NES
21000004911,in,11,0210BUL
21000004911,in,12,0200BUL
21000004911,in,13,0210NAS
21000004911,in,14,0200RGC
21000004911,in,15,0210RSB
21000004911,in,16,0210STD
21000004911,in,17,0200STD
21000004911,in,18,0200HML
21000004911,in,19,0210ALS
21000004911,in,20,0210DRV
21000004911,in,21,0210KCA
21000004911,in,22,0210SUR
21000004911,in,23,0210MTG
21000004911,in,24,0210PNG
21000004911,in,25,0200GNK
21000004911,in,26,0210NGR
21000004911,in,27,0210FIG
21000004911,in,28,0210KNJ
21000004911,in,29,0212SNT
20400005311,out,0,0201RST
20400005311,out,1,0201NEH
20400005311,out,2,0201RKN
20400005311,out,3,0201STM
20400005311,out,4,0201NYT
20400005311,out,5,0201MGN
20400005311,out,6,0201RUK
20400005311,out,7,0200MRR
20400005311,in,0,0200MRR
20400005311,in,1,0200RUK
20400005311,in,2,0200MGN
20400005311,in,3,0200NYT
20400005311,in,4,0200STM
20400005311,in,5,0200RKN
20400005311,in,6,0200NEH
20400005311,in,7,0200RST
60201005611,out,0,0712RWY
60201005611,out,1,0611SRN
60201005611,out,2,0601INT
60201005611,out,3,0611VRP
60201005611,out,4,0611DOD
60201005611,out,5,0611HUR
60201005611,out,6,0601QUA
60201005611,out,7,0611CKA
60201005611,out,8,0611YAY
60201005611,out,9,0603YAY
60201005611,out,10,0611KIL
60201005611,out,11,0601KIR
60201005611,out,12,0601MON
60201005611,out,13,0601ARC
60201005611,out,14,0601AMB
60201005611,out,15,0601BRB
60201005611,out,16,0601CNG
60201005611,out,17,0601HDH
60201005611,out,18,0601SFK
60201005611,out,19,0601WAR
60201005611,out,20,0601TWZ
60201005611,out,21,0611MKF
60201005611,out,22,0603KNG
60201005611,in,0,0600KNG
60201005611,in,1,0610MKF
